관광지명,이미지유사도,리뷰 유사 관광지,리뷰유사도
화명생태공원,부산박물관(0.3207),맥도생태공원,0.6539927
,대저생태공원(0.2833),대저생태공원,0.6275357
,삼락생태공원(0.2595),삼락생태공원,0.60789007
,송상현광장(0.2446),을숙도,0.5292689
,깡깡이예술마을(0.1941),강서체육공원,0.4717302
황령산,장산(0.5815),부산항대교,0.3593635
,금정산성(0.3135),광안대교,0.3112156
,금강공원(0.1717),용두산공원,0.28570688
,동래읍성(0.1714),장산,0.26366693
,광안대교(0.1617),아미산전망대,0.25565144
회동수원지,성지곡수원지(0.4900),금정산성,0.5232539
,장산(0.2644),부산치유의숲,0.3112144
,화명생태공원(0.1427),범어사,0.29995805
,아미산전망대(0.1403),성지곡수원지,0.29976207
,을숙도(0.1064),장안사,0.2496134
흰여울문화마을,절영해안산책로(0.7178),절영해안산책로,0.7843094
,감천문화마을(0.6143),깡깡이예술마을,0.5847273
,남항대교(0.2360),영도대교,0.58311254
,호천마을(0.2225),감천문화마을,0.3411044
,부네치아(0.2083),부산항대교,0.31200492
